agriculture;plant;animal;totalexport;NL is zero
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
0;0;0;0;1
